agent,n_test_rows,total_return_equity,total_return_prod,max_drawdown,sharpe
dprime_all_features_h01,63,-0.2212133176683001,-0.226505617281217,-0.31708275052785395,-1.495483350890976
dprime_bnf_h01,63,-0.2285991891268936,-0.2351426403130633,-0.3531278578617606,-1.2491542742871873
dprime_bnf_3scale,63,-0.4178918354891259,-0.4264566377090593,-0.43890358295181076,-1.8218670503837668
dprime_all_features_3scale,63,-0.44925381186672875,-0.45256804993672217,-0.5683415148167794,-1.5334433636110214
dprime_bnf_h02,63,-0.5019882716375523,-0.5086054918658942,-0.5019882716375523,-2.5483584269619923
dprime_all_features_h03,63,-0.5558428407551006,-0.5593680351110389,-0.5585601777644225,-2.971449678609056
dprime_bnf_h03,63,-0.5762000400695113,-0.5825084366493662,-0.5762000400695113,-3.0957429691966456
dprime_mix_3scale,63,-0.5970865874939661,-0.6032614732743646,-0.5970865874939661,-2.9412751767542753
dprime_mix_h01,63,-0.5986514365822502,-0.6045987633721005,-0.5986514365822502,-2.9570115452056367
dprime_all_features_h02,63,-0.6033579492580763,-0.6093577239500279,-0.6057353914471546,-3.2495558114014846
